model,guidance_scale,pairs,global_ca_rmsd,initial_target_rmsd,relative_improvement,distance_matrix_mae,dfg_rmsd,alphac_rmsd,hrd_rmsd,activation_loop_rmsd,trajectory_smoothness,directionality,cycle_rmsd,closer_to_target_rate,crossing_rate,closer_to_active_rate,closer_to_inactive_rate
linear_interpolation_oracle,1.0,4,0.0,3.3113034814596176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
no_conditioning,0.5,4,6.4775238037109375,3.3113034814596176,-7.892482153181117,2.9515683352947235,5.325628638267517,3.8985889554023743,2.7056655883789062,7.219498157501221,0.04619470611214638,0.25,9.821144342422485,0.25,0.0,0.0,1.0
inverse_deactivation,0.5,4,7.387702584266663,3.3054092451930046,-10.108457974275208,3.434684693813324,5.767906069755554,5.470938801765442,3.318810820579529,8.23440146446228,0.05819071363657713,0.125,9.750986576080322,0.25,0.25,0.75,0.25
aligned_full_conditioning,1.5,4,7.966237306594849,3.3113034814596176,-11.338384232499607,3.4037449955940247,6.483043193817139,6.146607756614685,4.0600996017456055,8.671848177909851,0.06305959448218346,0.1875,18.66135048866272,0.25,0.25,0.25,0.75
bidirectional_self_consistent,1.0,4,8.91809368133545,3.3113034814596176,-12.998378392555392,2.6309010088443756,7.301376104354858,7.657214164733887,6.154443025588989,9.721006512641907,0.06811918877065182,0.0,12.170183658599854,0.0,0.25,0.25,0.75
