epoch,train_total_loss,train_rotation_loss,train_translation_loss,validation_total_loss,validation_rotation_loss,validation_translation_loss
1,369.14581158125344,2.6221316794205394,366.52367990183274,306.8886547523389,1.8888483694178275,304.999806382921
2,269.5950899444468,3.2302942330181774,266.3647957114286,267.0235162876737,1.9664741869792828,265.05704210069445
3,236.895097456426,3.5759741128917777,233.31912334353424,252.37711123617441,2.001937964147387,250.3751732720269
4,230.21236113249861,3.9640107184887254,226.24835041401,244.7777859758751,2.3747854197769236,242.40300055609808
5,209.98951797317307,4.695029319147361,205.29448865402577,240.11778179878888,2.798373636353917,237.31940816243488
6,219.18890338408167,4.280019131577831,214.90888425250387,234.72598495294102,2.7788471626850755,231.94713779025608
7,205.09644897319478,4.435267274905661,200.66118169828903,224.91722897324956,2.9248717616067457,221.9923572116428
8,198.37303422213864,4.613725739813405,193.75930848232537,225.0590697322864,3.1509035674642645,221.90816616482203
9,203.6790783076708,4.478178329653897,199.2008999780167,218.71362816693028,3.3866177367002925,215.32701043023005
10,190.72134521998018,4.245340865636524,186.47600435434387,220.42320093887565,3.12758580622597,217.29561513264974
