epoch,train_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc
1,0.702393901348114,0.11764705882352941,0.5,0.11764705882352941,1.0,0.21052631578947367,0.33229166666666665,0.8839285714285714,0.5,0.8839285714285714,1.0,0.9383886255924171,0.592074592074592
2,0.7098150730133057,0.125,0.5041666666666667,0.11851851851851852,1.0,0.2119205298013245,0.5302083333333334,0.8839285714285714,0.5,0.8839285714285714,1.0,0.9383886255924171,0.41103341103341096
3,0.6890034526586533,0.8602941176470589,0.56875,0.3333333333333333,0.1875,0.24,0.6739583333333333,0.11607142857142858,0.5,0.0,0.0,0.0,0.26806526806526804
4,0.6755263298749924,0.11764705882352941,0.5,0.11764705882352941,1.0,0.21052631578947367,0.8109375,0.8839285714285714,0.5,0.8839285714285714,1.0,0.9383886255924171,0.1958041958041958
5,0.6630709737539291,0.8382352941176471,0.71875,0.375,0.5625,0.45,0.8354166666666667,0.07142857142857142,0.27428127428127425,0.14285714285714285,0.010101010101010102,0.018867924528301886,0.15773115773115773
6,0.5252074167132378,0.7720588235294118,0.8166666666666667,0.32558139534883723,0.875,0.4745762711864407,0.8453125,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.16860916860916858
7,0.35938058197498324,0.25735294117647056,0.5520833333333334,0.13043478260869565,0.9375,0.22900763358778625,0.8614583333333333,0.32142857142857145,0.3154623154623155,0.7804878048780488,0.32323232323232326,0.45714285714285713,0.18026418026418026
8,0.2795412871986628,0.7058823529411765,0.7791666666666667,0.2692307692307692,0.875,0.4117647058823529,0.8588541666666667,0.08035714285714286,0.1790986790986791,0.35714285714285715,0.050505050505050504,0.08849557522123894,0.18414918414918416
9,0.21325979754328728,0.9044117647058824,0.8104166666666667,0.5789473684210527,0.6875,0.6285714285714286,0.8635416666666667,0.13392857142857142,0.4766899766899767,0.75,0.030303030303030304,0.05825242718446602,0.20435120435120435
10,0.32433138564229014,0.7867647058823529,0.74375,0.3142857142857143,0.6875,0.43137254901960786,0.8557291666666667,0.07142857142857142,0.20745920745920748,0.2727272727272727,0.030303030303030304,0.05454545454545454,0.17327117327117328
11,0.20829968322068454,0.8308823529411765,0.85,0.4,0.875,0.5490196078431373,0.865625,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18803418803418803
12,0.17855842914432288,0.7426470588235294,0.8,0.2978723404255319,0.875,0.4444444444444444,0.8645833333333334,0.07142857142857142,0.20745920745920748,0.2727272727272727,0.030303030303030304,0.05454545454545454,0.1849261849261849
13,0.16254204642027617,0.7720588235294118,0.8166666666666667,0.32558139534883723,0.875,0.4745762711864407,0.8666666666666667,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1849261849261849
14,0.152734449878335,0.75,0.8041666666666667,0.30434782608695654,0.875,0.45161290322580644,0.8765625,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1919191919191919
15,0.12720736796036364,0.7941176470588235,0.8291666666666666,0.35,0.875,0.5,0.8729166666666666,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18958818958818957
16,0.1430624259635806,0.8235294117647058,0.8458333333333333,0.3888888888888889,0.875,0.5384615384615384,0.8744791666666667,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18648018648018647
17,0.13754836451262237,0.8161764705882353,0.8416666666666667,0.3783783783783784,0.875,0.5283018867924528,0.8760416666666667,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18803418803418803
18,0.11203055856749415,0.625,0.7333333333333334,0.2222222222222222,0.875,0.35443037974683544,0.8614583333333333,0.0625,0.168997668997669,0.25,0.030303030303030304,0.05405405405405406,0.1888111888111888
19,0.16918968521058558,0.6691176470588235,0.7583333333333333,0.24561403508771928,0.875,0.3835616438356164,0.8666666666666666,0.0625,0.168997668997669,0.25,0.030303030303030304,0.05405405405405406,0.18414918414918413
20,0.1205277661792934,0.7279411764705882,0.7916666666666667,0.2857142857142857,0.875,0.4307692307692308,0.8692708333333333,0.0625,0.168997668997669,0.25,0.030303030303030304,0.05405405405405406,0.18648018648018647
21,0.14698031079024076,0.8676470588235294,0.84375,0.4642857142857143,0.8125,0.5909090909090909,0.8692708333333333,0.09821428571428571,0.32284382284382285,0.375,0.030303030303030304,0.056074766355140186,0.1825951825951826
22,0.15885348999872803,0.8676470588235294,0.8708333333333333,0.4666666666666667,0.875,0.6086956521739131,0.8687499999999999,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18414918414918413
23,0.18284933026880026,0.8382352941176471,0.8541666666666667,0.4117647058823529,0.875,0.56,0.8671875000000001,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18337218337218336
24,0.10789260724559427,0.7794117647058824,0.8208333333333333,0.3333333333333333,0.875,0.4827586206896552,0.8624999999999999,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1857031857031857
25,0.09981090838555247,0.7867647058823529,0.7979166666666666,0.3333333333333333,0.8125,0.4727272727272727,0.8630208333333333,0.07142857142857142,0.20745920745920748,0.2727272727272727,0.030303030303030304,0.05454545454545454,0.18725718725718726
26,0.09340557963587344,0.8235294117647058,0.81875,0.38235294117647056,0.8125,0.52,0.8624999999999999,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18725718725718726
27,0.08250994402915239,0.7941176470588235,0.7479166666666667,0.3235294117647059,0.6875,0.44,0.8619791666666666,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1849261849261849
28,0.07999268248677253,0.6985294117647058,0.775,0.2641509433962264,0.875,0.4057971014492754,0.8546875,0.0625,0.168997668997669,0.25,0.030303030303030304,0.05405405405405406,0.1888111888111888
29,0.07513733857776969,0.8602941176470589,0.7854166666666667,0.44,0.6875,0.5365853658536586,0.8624999999999999,0.09821428571428571,0.32284382284382285,0.375,0.030303030303030304,0.056074766355140186,0.1911421911421911
30,0.11517331739887596,0.8088235294117647,0.75625,0.34375,0.6875,0.4583333333333333,0.8505208333333333,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18026418026418023
31,0.14158526472747326,0.8088235294117647,0.75625,0.34375,0.6875,0.4583333333333333,0.8588541666666666,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1787101787101787
32,0.10137745402753354,0.7867647058823529,0.7979166666666666,0.3333333333333333,0.8125,0.4727272727272727,0.8593749999999999,0.07142857142857142,0.20745920745920748,0.2727272727272727,0.030303030303030304,0.05454545454545454,0.18181818181818182
33,0.07871490283869206,0.7867647058823529,0.74375,0.3142857142857143,0.6875,0.43137254901960786,0.8588541666666667,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18414918414918413
34,0.07523743254132569,0.8676470588235294,0.7895833333333333,0.4583333333333333,0.6875,0.55,0.8682291666666667,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.17948717948717946
35,0.07608379879966379,0.7941176470588235,0.7479166666666667,0.3235294117647059,0.6875,0.44,0.8557291666666667,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.19191919191919193
36,0.08942025480791926,0.7867647058823529,0.74375,0.3142857142857143,0.6875,0.43137254901960786,0.8442708333333333,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.16860916860916858
37,0.077757363836281,0.8161764705882353,0.7604166666666667,0.3548387096774194,0.6875,0.46808510638297873,0.8322916666666667,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.1678321678321678
38,0.09594665174372494,0.6985294117647058,0.7208333333333333,0.24489795918367346,0.75,0.36923076923076925,0.8447916666666667,0.0625,0.168997668997669,0.25,0.030303030303030304,0.05405405405405406,0.17948717948717946
39,0.11459888298995793,0.8529411764705882,0.78125,0.4230769230769231,0.6875,0.5238095238095238,0.8588541666666666,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.17404817404817402
40,0.06383602567948402,0.8088235294117647,0.8104166666666667,0.3611111111111111,0.8125,0.5,0.8552083333333335,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1857031857031857
41,0.07088601482100784,0.875,0.79375,0.4782608695652174,0.6875,0.5641025641025641,0.8578125,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18181818181818182
42,0.059408172289840876,0.8088235294117647,0.75625,0.34375,0.6875,0.4583333333333333,0.8468749999999999,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.18725718725718726
43,0.06401062035001814,0.7647058823529411,0.73125,0.2894736842105263,0.6875,0.4074074074074074,0.8479166666666667,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1888111888111888
44,0.06952896018046886,0.7794117647058824,0.7395833333333333,0.3055555555555556,0.6875,0.4230769230769231,0.8317708333333332,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.1686091686091686
45,0.053565048042219135,0.8161764705882353,0.7604166666666667,0.3548387096774194,0.6875,0.46808510638297873,0.8520833333333334,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18725718725718726
46,0.05387004388030618,0.8308823529411765,0.76875,0.3793103448275862,0.6875,0.4888888888888889,0.8526041666666668,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18026418026418026
47,0.05329644846497104,0.7573529411764706,0.7270833333333333,0.28205128205128205,0.6875,0.4,0.8458333333333334,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.181041181041181
48,0.054186348873190585,0.8161764705882353,0.7604166666666667,0.3548387096774194,0.6875,0.46808510638297873,0.8468749999999999,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18648018648018647
49,0.062420452560763805,0.8161764705882353,0.7604166666666667,0.3548387096774194,0.6875,0.46808510638297873,0.8531249999999999,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.1989121989121989
50,0.048837421275675294,0.8602941176470589,0.7854166666666667,0.44,0.6875,0.5365853658536586,0.8510416666666667,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.17094017094017094
51,0.05572185420896858,0.7867647058823529,0.74375,0.3142857142857143,0.6875,0.43137254901960786,0.8505208333333333,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18725718725718726
52,0.05603876658715308,0.7132352941176471,0.75625,0.2653061224489796,0.8125,0.4,0.8359375,0.07142857142857142,0.20745920745920748,0.2727272727272727,0.030303030303030304,0.05454545454545454,0.18414918414918413
53,0.0606758932583034,0.8308823529411765,0.76875,0.3793103448275862,0.6875,0.4888888888888889,0.8572916666666668,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.1849261849261849
54,0.05489518628455699,0.8235294117647058,0.7645833333333334,0.36666666666666664,0.6875,0.4782608695652174,0.8494791666666667,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.18181818181818182
55,0.052961574005894366,0.8382352941176471,0.7729166666666667,0.39285714285714285,0.6875,0.5,0.8458333333333334,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.1678321678321678
56,0.05127118875971064,0.8088235294117647,0.7833333333333333,0.35294117647058826,0.75,0.48,0.8348958333333333,0.09821428571428571,0.32284382284382285,0.375,0.030303030303030304,0.056074766355140186,0.2059052059052059
57,0.06843780109193176,0.8970588235294118,0.80625,0.55,0.6875,0.6111111111111112,0.8421875000000001,0.08928571428571429,0.28438228438228436,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.1787101787101787
58,0.10038496762281283,0.7720588235294118,0.7354166666666666,0.2972972972972973,0.6875,0.41509433962264153,0.8333333333333334,0.08035714285714286,0.24592074592074592,0.3,0.030303030303030304,0.05504587155963303,0.17793317793317792
