epoch,train_denoising_loss,validation_denoising_loss,validation_rmsd,validation_mae,validation_mse,validation_accuracy,learning_rate
1,0.19754611026193644,0.17641360983252524,13.813916196425756,6.175856927037239,74.16392868359884,0.4708333333333333,0.0003
2,0.14793610552678238,0.1752133034169674,,,,,0.00029999703912842054
3,0.1465499880346092,0.17505903653800486,,,,,0.00029998815663057245
4,0.14561881618322553,0.17470837123692035,,,,,0.0002999733528571214
5,0.14499125780688749,0.17527825571596622,13.65553463101387,6.0885076999664305,72.45325896739959,0.32916666666666666,0.000299952628392495
6,0.14446757169994148,0.17591155767440797,,,,,0.0002999259840548598
7,0.14423008957827413,0.18059201799333097,,,,,0.0002998934208960884
8,0.14239446043565468,0.17606752291321753,,,,,0.00029985494020171873
9,0.1413201706332935,0.17566087432205676,,,,,0.00029981054349090264
10,0.13856016844511032,0.17476719319820405,13.79413573940595,6.19237092534701,73.34379577239355,0.3875,0.0002997602325163463
11,0.13659378503625458,0.1783014412969351,,,,,0.00029970400926424077
12,0.13070851634885813,0.17527928799390793,,,,,0.0002996418759541838
13,0.1253982531661923,0.17690021656453608,,,,,0.00029957383503909215
14,0.12046269800614666,0.16123294234275817,,,,,0.0002994998892051045
15,0.12296537773029224,0.17899617217481137,15.772829671700796,7.138216082255045,92.70524531205496,0.5,0.0002994200413714759
16,0.11719570711657808,0.16598681099712848,,,,,0.00029933429469046203
17,0.11387140525353921,0.18084631487727165,,,,,0.00029924265254719506
18,0.11284101321487813,0.18472603522241116,,,,,0.00029914511855954983
19,0.10951613081065384,0.17535823695361613,,,,,0.0002990416965780013
20,0.1084878317306976,0.1707418031990528,15.73225297133128,7.088738438487053,91.00197673638662,0.5,0.00029893239068547206
21,0.10621897961843658,0.17001834101974964,,,,,0.00029881720519717175
22,0.10523456843519532,0.1766161322593689,,,,,0.00029869614466042604
23,0.10595595771195115,0.16954589001834391,,,,,0.00029856921385449774
24,0.10246014292981173,0.18841837346553802,,,,,0.0002984364177903977
25,0.09928201486331385,0.1799454167485237,19.89400024016698,9.076843536893527,150.02310733000436,0.5,0.0002982977617106872
26,0.09630355973904198,0.17348647564649583,,,,,0.0002981532510892708
27,0.0946424448409596,0.1856441456824541,,,,,0.00029800289163118036
28,0.09460038233649086,0.179807261005044,,,,,0.0002978466892723499
29,0.09039217223589485,0.1949008021503687,,,,,0.00029768465017938103
30,0.09101950387294228,0.19971298687160016,22.09667622645696,10.081343827644984,174.06982469558716,0.5,0.0002975167807492997
31,0.08769103376245177,0.1963525377213955,,,,,0.00029734308760930354
32,0.08748488435270013,0.18588213250041008,,,,,0.00029716357761650034
33,0.08590001376295411,0.19568928107619285,,,,,0.0002969782578576373
34,0.08581870613065926,0.18360769897699356,,,,,0.0002967871356488211
35,0.08201822643545834,0.19193968512117862,21.634488340218862,9.825793806711832,172.06107765833536,0.5,0.0002965902185352293
36,0.07886020587505521,0.19214342832565307,,,,,0.00029638751429081236
37,0.07984606856228532,0.1860339716076851,,,,,0.00029617903091798685
38,0.07664652415425391,0.1847519088536501,,,,,0.0002959647766473192
39,0.07502288144786616,0.19882626160979272,,,,,0.00029574475993720135
40,0.07690956277420392,0.21927252188324928,26.957964913050333,12.44962678750356,255.7260244210561,0.5,0.00029551898947351613
41,0.07334041766620972,0.18926892541348933,,,,,0.0002952874741692949
42,0.0706058697825348,0.20287044830620288,,,,,0.0002950502231643655
43,0.07166213144523066,0.19826115630567073,,,,,0.0002948072458249913
44,0.07043060675464771,0.19962731897830963,,,,,0.0002945585517435017
45,0.06718134346443254,0.19531987570226192,20.177800532182058,9.223965760072073,153.00024433135985,0.5,0.0002943041507379131
46,0.06730330725376671,0.17903215624392033,,,,,0.0002940440528515417
47,0.06582095846533775,0.19138998985290528,,,,,0.0002937782683526066
48,0.06245213787297945,0.18960979729890823,,,,,0.00029350680773382483
49,0.06580192832326567,0.17926406264305114,,,,,0.0002932296817119967
50,0.06372480144774592,0.20071701258420943,21.311537965138754,9.666060729821522,170.29389548301697,0.5,0.00029294690122758305
51,0.06045960861484747,0.18858277164399623,,,,,0.00029265847744427325
52,0.06229705104251971,0.19137202873826026,,,,,0.0002923644217485444
53,0.05864118895417935,0.19424629658460618,,,,,0.0002920647457492118
54,0.059357836087410513,0.19850590638816357,,,,,0.0002917594612769709
55,0.05580899431496053,0.18727625906467438,20.68510696490606,9.387928519646326,155.88394157091776,0.5,0.00029144858038392986
56,0.05842518217458918,0.18861495107412338,,,,,0.000291132115343134
57,0.05650222427337556,0.2024639993906021,,,,,0.0002908100786480813
58,0.05775273399981293,0.20015992671251298,,,,,0.000290482483012229
59,0.05530685196454461,0.1932501971721649,,,,,0.0002901493413684919
60,0.054229160217014516,0.19132709093391895,22.79079194466273,10.433485372861226,192.62405977249145,0.5,0.0002898106668687317
61,0.054663281585719134,0.19895920269191264,,,,,0.0002894664728832378
62,0.05348782498087432,0.20840778090059758,,,,,0.0002891167730001993
63,0.052744371564807116,0.19680012129247187,,,,,0.0002887615810251688
64,0.05140282233824601,0.18169075734913348,,,,,0.00028840091098051733
65,0.05019506107310991,0.19565632492303847,22.45368746519089,10.315339990456899,187.95717967351277,0.5,0.00028803477710488066
66,0.0493292432228053,0.1932004764676094,,,,,0.0002876631938525973
67,0.04896952028109415,0.21541125290095806,,,,,0.00028728617589313777
68,0.04913218649154579,0.19964604303240777,,,,,0.0002869037381105256
69,0.04992691827686252,0.19682614430785178,,,,,0.0002865158956027495
70,0.04870443395968225,0.19267621338367463,22.38971362511317,10.242735415697098,182.70941689809163,0.5,0.0002861226636811677
71,0.047742596802276535,0.20452733896672726,,,,,0.00028572405786990305
72,0.04944881409205295,0.2083822637796402,,,,,0.00028532009390523053
73,0.047412803547607886,0.20779907405376435,,,,,0.0002849107877349558
74,0.045838155934738146,0.20667739100754262,,,,,0.0002844961555177855
75,0.04640992481664226,0.20974109545350075,24.279273883501688,11.152977230151494,220.00145926475525,0.5,0.0002840762136226897
76,0.04547541742087216,0.2038175217807293,,,,,0.0002836509786282553
77,0.04202353679952589,0.21624189391732215,,,,,0.0002832204673220318
78,0.042841165452390105,0.22587342076003553,,,,,0.00028278469669986843
79,0.04428662948713109,0.20916906408965588,,,,,0.00028234368396524317
80,0.043926714919507504,0.21982981450855732,24.114591813087465,11.089504589637121,219.7741618315379,0.5,0.0002818974465285836
81,0.04197015792030741,0.21253690533339978,,,,,0.0002814460020065797
82,0.041644772388846486,0.20835776180028914,,,,,0.00028098936822148823
83,0.04227207885501352,0.21283586621284484,,,,,0.00028052756320042904
84,0.044953896261348915,0.20134741626679897,,,,,0.00028006060517467366
85,0.04435561015899923,0.2143242724239826,22.788118743896483,10.452936780452728,194.56434200604755,0.5,0.0002795885125789254
86,0.03964995945224891,0.20217899456620217,,,,,0.0002791113040505917
87,0.041592272652967555,0.2014632411301136,,,,,0.000278628998429048
88,0.039956992693446776,0.20889047682285308,,,,,0.00027814161475489443
89,0.04046208210088111,0.20120915919542312,,,,,0.00027764917226920393
90,0.03940558989809172,0.20103520415723325,21.520353853702545,9.83832183877627,176.8587850411733,0.5,0.0002771516904127626
91,0.037670219442932994,0.21567923501133918,,,,,0.00027664918882530236
92,0.0363967591091185,0.21574729382991792,,,,,0.00027614168734472545
93,0.03723646134037424,0.2134459286928177,,,,,0.0002756292060063213
94,0.03799665696616914,0.20158872418105603,,,,,0.0002751117650419757
95,0.03923961688839906,0.21206562891602515,23.511443118254345,10.742964551846187,203.73030947049457,0.5,0.0002745893848793719
96,0.03770566900336259,0.2185755416750908,,,,,0.0002740620861411843
97,0.03558484744280577,0.22155235521495342,,,,,0.00027352988964426413
98,0.03678474056761007,0.20790245123207568,,,,,0.0002729928163988179
99,0.03444811815043559,0.22159671261906624,,,,,0.00027245088760757764
100,0.03586820427429031,0.189356941729784,20.296657971541087,9.222249112526576,158.34233128229778,0.5,0.0002719041246649641
101,0.03701770917285938,0.22399746552109717,,,,,0.00027135254915624217
102,0.036267273958671735,0.22516655772924424,,,,,0.0002707961828566683
103,0.03774371131549816,0.2031318712979555,,,,,0.00027023504773063153
104,0.03551938404908051,0.19788090288639068,,,,,0.00026966916593078565
105,0.03460636309574585,0.2459467865526676,26.907613535722096,12.25585270722707,266.539613866806,0.5,0.00026909855979717525
106,0.03626843222190399,0.21023725718259811,,,,,0.00026852325185635354
107,0.034164824019614105,0.21009970046579837,,,,,0.0002679432648204928
108,0.03348376498733823,0.2126365214586258,,,,,0.0002673586215864882
109,0.03404517829216815,0.2169490210711956,,,,,0.0002667693452350535
110,0.03273232613463659,0.218462098762393,23.95319282611211,10.838093137741089,212.36529717445373,0.5,0.0002661754590298101
111,0.034201221439886735,0.21442437618970872,,,,,0.00026557698641636835
112,0.03161260417687732,0.21445570401847364,,,,,0.00026497395102140247
113,0.031104541006120475,0.2074362736195326,,,,,0.0002643663766517172
114,0.031926454170732886,0.21407151222229004,,,,,0.0002637542872933083
115,0.03356916960832235,0.21081130392849445,21.06091456015905,9.59946040312449,169.0138511498769,0.5,0.00026313770711041556
116,0.031179777900310787,0.21227402836084366,,,,,0.0002625166604445689
117,0.03321937733405345,0.21254180409014226,,,,,0.0002618911718136273
118,0.034128487210821463,0.18250080831348897,,,,,0.00026126126591081083
119,0.03457382371699488,0.20590955018997192,,,,,0.000260626967603726
120,0.030899341293686145,0.22014683559536935,24.405519223213197,11.05435776313146,215.60980505943297,0.5,0.00025998830193338395
