model,accuracy,precision,recall,f1,roc_auc,pr_auc,rmsd,diversity,contact_similarity,mean_matrix_distance,stability
Existing baseline,0.09375,0.0,0.0,0.0,0.03160919540229885,0.7825080017512915,34.856744557619095,24.81748382912742,0.009146145469605637,0.031735990196466446,3.232300360316458
Flow Matching no CFG,0.09375,0.0,0.0,0.0,0.028735632183908046,0.7714447833604869,34.79352563619614,24.749150603536574,0.009100408686641486,0.03172212839126587,3.279056116422975
Flow Matching + CFG 1,0.09375,0.0,0.0,0.0,0.04310344827586207,0.7832263925558893,34.80850327014923,24.72231238701987,0.009184223002476115,0.03168121725320816,3.238238697671539
Flow Matching + CFG 2,0.09375,0.0,0.0,0.0,0.03735632183908046,0.7863052102898793,35.04076391458511,25.14976104573598,0.009190097790840715,0.03145551681518555,3.2277343740285565
Flow Matching + CFG 3,0.09375,0.0,0.0,0.0,0.04885057471264368,0.7975942086478433,35.036049872636795,25.483257703364842,0.009387574068237429,0.031351394951343536,3.392226682994763
Flow Matching + CFG 5,0.09375,0.0,0.0,0.0,0.025862068965517244,0.7702132562668909,35.31364530324936,26.300152543045225,0.008993887902010823,0.031040290370583534,3.4047503999538
