epoch,train_total_loss,train_delta_loss,train_motion_loss,train_direction_loss,train_mobile_loss,train_distance_loss,val_total_loss,val_delta_loss,val_motion_loss,val_direction_loss,val_mobile_loss,val_distance_loss
1,43.675562994147455,10.742939892057112,31.849548131872922,1.4849764258362526,0.6811731830585834,0.0,35.71459702915615,8.88536138843952,25.66930169566638,1.5970946901374392,0.7227725916438632,0.0
2,42.32182091197302,10.551362248990944,30.93949307993401,0.9952427875163943,0.6666882413764332,0.0,34.40900783671273,8.88989162966609,24.318127814597553,1.6045602715677685,0.7974164873361588,0.0
3,40.245223921676015,10.221536473912556,29.277279002513996,0.8190940930399784,0.6737224727175957,0.0,32.30577589273453,8.909373251100382,22.216313097874323,1.5709263546599281,0.7892523318529129,0.0
4,37.72790247257366,9.778314708415852,27.261158396338306,0.7009813600501349,0.6758771921313086,0.0,30.11011129617691,9.029426548878352,19.92789786524243,1.5545045802990596,0.7510685155789057,0.0
5,35.34695331329523,9.384051636762397,25.30801602047543,0.6576946582212004,0.6520764349504958,0.0,28.13471452660031,9.16234207087093,17.81263608203994,1.5755544390943315,0.7439182953702079,0.0
6,33.134214414552204,9.010162934037142,23.509729623240094,0.6154934016078017,0.6131504503793495,0.0,26.94622997707791,9.297601907783084,16.464774149656296,1.565528882212109,0.802178962694274,0.0
7,31.166444721887277,8.650029330752616,21.940036572412,0.5720353782176971,0.580722060730291,0.0,25.141076151529948,9.745917865965101,14.309980063968235,1.5150202062394884,0.6553362104627821,0.0
8,29.59779154977133,8.363351467598317,20.668537350033606,0.5638653404144354,0.5679405301116234,0.0,24.93097078005473,10.059076356887818,13.690071902010176,1.630298223760393,0.733347260620859,0.0
9,27.965619635027508,7.9843160282733825,19.435918370235797,0.5357372232994367,0.5550331527410551,0.0,24.63697632683648,10.469674481285942,12.957580330636766,1.695642747481664,0.7238002601597044,0.0
10,26.48250632286072,7.64901664395665,18.298497196685435,0.5249367108871771,0.5450480444486752,0.0,24.368866035673353,10.351258949438732,12.804091758198208,1.668484040763643,0.75854628417227,0.0
11,25.025002214520477,7.3200503060984055,17.182494161018106,0.5045552076988442,0.5403602342272914,0.0,24.04372713300917,10.255535414483813,12.588260472483105,1.643650507264667,0.7562117745478948,0.0
12,23.74272772212361,7.071995263875917,16.153155669500663,0.5001513198711152,0.5350023162919422,0.0,23.75120483769311,10.438917881912655,12.101274976465437,1.6664376980728572,0.7555867976612515,0.0
13,22.61049987659898,6.772581797699596,15.326818514424701,0.4871580525539642,0.5350411976492682,0.0,23.915981374846563,10.159755886925591,12.529385310411453,1.6698300732506646,0.783850622508261,0.0
14,21.406106299577758,6.498149132174115,14.401718904251275,0.48424116251773613,0.528235217027886,0.0,23.521348383691574,10.0487449420823,12.274282351467345,1.6184567544195387,0.7781855864657297,0.0
15,20.259824779421784,6.194746692236079,13.563404639515765,0.47389786252102184,0.5294491569663203,0.0,23.812058414353263,9.985462858279545,12.603517283995947,1.5959475139776866,0.8502087252007591,0.0
