epoch,train_total_loss,train_delta_loss,train_distance_loss,train_rmsd_source_target,train_rmsd_prediction_target,train_rmsd_source_prediction,train_rmsd_improvement,train_success_rate,train_mean_true_motion,train_mean_pred_motion,train_mean_delta_norm,train_mean_true_delta_norm,train_num_samples,val_total_loss,val_delta_loss,val_distance_loss,val_rmsd_source_target,val_rmsd_prediction_target,val_rmsd_source_prediction,val_rmsd_improvement,val_success_rate,val_mean_true_motion,val_mean_pred_motion,val_mean_delta_norm,val_mean_true_delta_norm,val_num_samples
1,8.180650243093801,8.180650243093801,0.0,4.034038032652629,4.000604802095092,0.5769220412137779,0.033433230557540064,0.7953488372093023,2.892944693253484,0.2541605014180721,0.2541605014180721,2.892944693253484,215.0,7.696450816260444,7.696450816260444,0.0,3.0776549502226733,3.0737597071032825,0.58327401755024,0.0038952431193903423,0.5333333333333333,3.4072361595100826,0.2289383598499828,0.2289383598499828,3.4072361595100826,90.0
2,7.964543790595476,7.964543790595476,0.0,4.034038032652627,3.943055597435041,0.6616516132175866,0.09098243521758988,0.786046511627907,2.892944693253484,0.34960171337737594,0.34960171337737594,2.892944693253484,215.0,7.6978235801061,7.6978235801061,0.0,3.0776549502226733,3.0866889430239395,0.6955735762909403,-0.009033992801266131,0.5555555555555556,3.4072361595100826,0.4478987849420971,0.4478987849420971,3.4072361595100826,90.0
3,7.790762475479481,7.790762475479481,0.0,4.034038032652628,3.9234365395383572,0.7137431355419387,0.11060149311427304,0.786046511627907,2.892944693253484,0.5166945206564526,0.5166945206564526,2.892944693253484,215.0,7.690177118115955,7.690177118115955,0.0,3.0776549502226733,3.0908313091260196,0.7266373713515696,-0.013176358903345968,0.5555555555555556,3.4072361595100826,0.52105070816146,0.52105070816146,3.4072361595100826,90.0
4,7.671662821880607,7.671662821880607,0.0,4.034038032652628,3.9121307007650654,0.7344241620329972,0.12190733188756422,0.8232558139534883,2.892944693253484,0.5735020205031994,0.5735020205031994,2.892944693253484,215.0,7.688008807102839,7.688008807102839,0.0,3.0776549502226733,3.0928407059957883,0.7380567122480576,-0.015185755773114831,0.5444444444444444,3.4072361595100826,0.5537697315216065,0.5537697315216065,3.4072361595100826,90.0
5,7.656045041527859,7.656045041527859,0.0,4.034038032652628,3.905856599046127,0.7512372735579903,0.12818143360650477,0.8232558139534883,2.892944693253484,0.5841544928938843,0.5841544928938843,2.892944693253484,215.0,7.7372520903746285,7.7372520903746285,0.0,3.0776549502226733,3.099672644412396,0.7612606744419425,-0.022017694189721715,0.5333333333333333,3.4072361595100826,0.5806598848766751,0.5806598848766751,3.4072361595100826,90.0
6,7.547068537113279,7.547068537113279,0.0,4.034038032652627,3.8985535306371832,0.753170408875275,0.13548450201545134,0.827906976744186,2.892944693253484,0.5992988488008809,0.5992988488008809,2.892944693253484,215.0,7.70424197183715,7.70424197183715,0.0,3.0776549502226733,3.100985925606086,0.7636610269655223,-0.02333097538341251,0.5333333333333333,3.4072361595100826,0.5871517287360297,0.5871517287360297,3.4072361595100826,90.0
7,7.563343817134236,7.563343817134236,0.0,4.034038032652629,3.894473267767657,0.7706403576990085,0.13956476488497568,0.827906976744186,2.892944693253484,0.6117513694042384,0.6117513694042384,2.892944693253484,215.0,7.674293766419093,7.674293766419093,0.0,3.0776549502226733,3.104398433960768,0.7687412518418676,-0.026743483738096104,0.5333333333333333,3.4072361595100826,0.5945182184378306,0.5945182184378306,3.4072361595100826,90.0
8,7.593441880026529,7.593441880026529,0.0,4.03403803265263,3.890542522706726,0.7733168994266713,0.1434955099459049,0.827906976744186,2.892944693253484,0.6332945779312489,0.6332945779312489,2.892944693253484,215.0,7.724969220823712,7.724969220823712,0.0,3.0776549502226733,3.1154223333168805,0.815398117251303,-0.03776738309420902,0.5111111111111111,3.4072361595100826,0.6043671826521556,0.6043671826521556,3.4072361595100826,90.0
9,7.557297046517217,7.557297046517217,0.0,4.034038032652631,3.8862912583403966,0.7923306946945392,0.14774677431223474,0.8372093023255814,2.892944693253484,0.6393068740534228,0.6393068740534228,2.892944693253484,215.0,7.689639935890834,7.689639935890834,0.0,3.0776549502226733,3.1138646759455053,0.8097631900089057,-0.03620972572283148,0.5222222222222223,3.4072361595100826,0.6293247136804793,0.6293247136804793,3.4072361595100826,90.0
10,7.471831398232038,7.471831398232038,0.0,4.034038032652629,3.8850571050445297,0.7964475279262475,0.14898092760810047,0.8325581395348837,2.892944693253484,0.6564839654190596,0.6564839654190596,2.892944693253484,215.0,7.722566123141183,7.722566123141183,0.0,3.0776549502226733,3.119541729954328,0.8269116021016248,-0.041886779731655374,0.5,3.4072361595100826,0.6419166909323798,0.6419166909323798,3.4072361595100826,90.0
11,7.53867570023204,7.53867570023204,0.0,4.034038032652628,3.881713394801434,0.8028161530476307,0.15232463785119824,0.8372093023255814,2.892944693253484,0.6620687146519506,0.6620687146519506,2.892944693253484,215.0,7.675135275390413,7.675135275390413,0.0,3.0776549502226733,3.1230250052622925,0.8266784610925655,-0.045370055039618266,0.4888888888888889,3.4072361595100826,0.6581650674343109,0.6581650674343109,3.4072361595100826,90.0
