epoch,train_loss,validation_loss,train_rmsd_source_target,train_rmsd_prediction_target,train_rmsd_improvement,train_success_rate,validation_rmsd_source_target,validation_rmsd_prediction_target,validation_rmsd_improvement,validation_success_rate,epoch_seconds
1,7.96269742583986,7.192625351084603,4.034038028793157,4.0595906910301105,-0.025552662236957742,0.40930232558139534,3.0776549538603213,3.0974738153451864,-0.01981886148486432,0.6555555555555556,192.80007812500116
2,7.6627479067375495,7.1610235515567995,4.034038028793156,3.998295895803671,0.0357421329894853,0.7906976744186046,3.0776549538603213,3.0904876391148446,-0.012832685254524048,0.6888888888888889,186.2194600419898
3,7.488324707330659,7.146158301830292,4.034038028793157,3.9431729057905995,0.09086512300255667,0.8046511627906977,3.0776549538603213,3.081721998176335,-0.0040670443160138615,0.5444444444444444,193.44005666600424
4,7.353001208430113,7.150417221254773,4.034038028793157,3.915814635957994,0.11822339283516313,0.8186046511627907,3.0776549538603213,3.073433400612832,0.004221553247489619,0.5555555555555556,194.9475505839946
5,7.2794807224772695,7.137871421376864,4.034038028793157,3.9018304695418977,0.13220755925125766,0.827906976744186,3.0776549538603213,3.0701171058054935,0.00753784805482805,0.5777777777777777,197.1939827919996
6,7.220165385964305,7.105674683385425,4.034038028793158,3.887531816306339,0.14650621248681803,0.8418604651162791,3.0776549538603213,3.063317495000356,0.014337458859966845,0.5888888888888889,196.79914679098874
7,7.1678474758946615,7.154374014503426,4.034038028793154,3.876856933193774,0.15718109559937965,0.8465116279069768,3.0776549538603213,3.0597293377596975,0.01792561610062404,0.5777777777777777,192.6763033340103
