kinase,residue_count,motion_correlation,rmsd_improvement,rmsd_prediction_target
EGFR,272,0.2998608083909254,0.08246859680835383,3.1430516323540165
EGFR,278,0.27644459559467843,0.12821139711334428,4.104587888609902
EGFR,299,,-0.5285489716326429,0.5285489716326477
EGFR,309,,-0.5505687229829461,0.5505687229829508
EGFR,270,0.11620456116956734,-0.037174514755405896,1.595333348588166
EGFR,280,0.042929727553220755,0.016470814980726,2.4559245225841804
EGFR,270,0.262062826841414,0.09188985472331002,3.2817706837068705
EGFR,256,0.29529458283411325,0.06673567455348417,2.325300192859683
EGFR,271,0.3041255303342989,0.08178879517918425,3.1596869697300995
EGFR,270,0.30521099438446186,0.08217618486059797,3.27241082499707
EGFR,281,0.1963261375654307,0.05242313581018365,7.406885747086428
EGFR,286,0.1406189430929412,0.059203899791842485,3.948567404138507
EGFR,310,,-0.5477104342829826,0.5477104342829898
EGFR,261,0.1496894000254022,0.03818267475671222,1.9693796764609308
EGFR,265,0.24553464768334057,0.12751128126769107,3.1968054202821583
EGFR,274,0.24037660081706694,0.04606748206069344,2.445871810717376
EGFR,277,0.1335401780445549,0.03203760534548472,3.040752304604839
EGFR,289,0.2018819561006017,0.036701310527178954,3.9135225603176647
EGFR,272,0.1466861295699748,0.008264413275365534,2.915763642468295
EGFR,303,,-0.5488698161531168,0.5488698161531229
EGFR,278,0.29438847381429445,0.15743232077781455,3.7714992102221423
EGFR,287,0.1517502898391887,-0.14165999094621284,3.3145766577470495
EGFR,287,0.13451730426581426,-0.1417782552042799,3.2925440766676646
EGFR,302,-0.09633611297925149,0.11776097510868233,4.136307895115199
EGFR,288,0.21946061499255695,-0.02050004674136119,5.531560361516626
EGFR,286,0.2732274885339637,-0.020828528951120973,5.845061650297606
EGFR,304,,-0.5422988548916035,0.5422988548916112
EGFR,281,0.03466370508384239,0.002779302516732418,2.2391498042772153
EGFR,275,0.20622581984321606,0.03879988779487853,2.7019707400872215
EGFR,285,0.11711297483665493,0.04600614290054095,3.843729962445508
EGFR,289,0.21094922524140255,0.07819660892163771,4.513983504603889
EGFR,268,0.20226631810141146,-0.050725694524693665,5.141234779811185
EGFR,272,0.14782076209067202,0.01162972904270676,2.5178925899733993
EGFR,293,0.08960192158515877,0.1251910152945932,5.532412677666399
EGFR,269,0.1452790219804486,0.06104170986935542,1.7780308772034397
EGFR,287,0.061191840109736904,0.0945228383984622,4.902074030190009
EGFR,270,0.12611216739979395,0.052635996293734166,2.932047509202728
EGFR,275,0.14288622706546944,0.10298652657299279,4.556940151546301
EGFR,270,0.1301396846334624,0.04992748916175804,2.90811900691419
EGFR,270,0.12705373571339154,0.04721529561779292,2.8959987866653427
EGFR,283,0.14458081987674032,0.15286535509091603,2.3528072165359695
EGFR,270,0.1286340038781142,0.041553267196938304,2.8824717206387165
EGFR,262,0.2694997425575478,0.0809198920555052,1.8786336383280653
EGFR,316,0.32727767748111386,0.03558844608279177,7.159558978677669
EGFR,286,0.27284259330371274,-0.023443156964848555,6.087424713219433
EGFR,299,0.24851130363552543,0.153536282285339,5.3237363960704345
EGFR,287,0.21415361718482095,0.10266365513623033,4.0124601783069895
EGFR,258,0.138394614026592,0.0013823852387395696,2.8066678283068365
EGFR,286,0.1566636746809804,0.06437005069742119,3.8074103776103563
EGFR,274,0.12448824795006418,0.02478842138811488,1.7741155975187826
EGFR,268,0.22242611433845436,-0.0080674237874927,4.8190782732349655
EGFR,270,0.13278706955499875,-0.06509651300280561,2.2842408205824607
EGFR,287,0.12352229977728611,0.07265458999342256,3.9766718011118027
EGFR,260,0.12407745094781099,0.008303536866056671,1.130268961705835
EGFR,262,0.1521989767028565,0.028041133015167752,2.2440914967150243
EGFR,266,0.058677987980739484,0.030841128239866178,1.4809652240277682
EGFR,264,0.08528950041535492,0.08115005037505263,1.88039665598602
EGFR,264,0.04705622771973952,0.049356923496836735,1.4722465296923717
EGFR,267,0.048025412614445484,0.04634347214790191,1.7474673004055112
EGFR,266,0.0507610385390932,0.11020572111172755,1.9976727469910818
EGFR,276,0.1300925670334482,0.0335524244023615,2.565027364812413
EGFR,289,0.24279007497207383,0.10086500019327937,3.830975205752971
EGFR,289,0.2666661797151497,0.10991462278489506,3.766673253699541
EGFR,294,0.22642735679145806,-0.05048852524747538,5.848954838975416
EGFR,277,0.15286111821948703,0.001960865720695093,2.7858286618608346
EGFR,289,0.26088281943232333,0.11547580102692878,3.8417118821100935
