epoch,train_total_loss,train_delta_loss,train_distance_loss,val_total_loss,val_delta_loss,val_distance_loss
1,10.236386685406918,10.112420173760416,1.239664926399412,8.858984439447521,8.7327874864969,1.2619693251947561
2,9.885021833209104,9.760086811940337,1.2493501876155997,8.933351359268029,8.805118177003331,1.2823320843279362
3,9.73932422042586,9.615210756001085,1.2411346488047479,8.924418561988407,8.79187670432859,1.3254189792606565
4,9.663200977929803,9.539833331281363,1.2336763849265353,8.949350704583857,8.81528617085682,1.3406449208656948
5,9.615911967047426,9.493379393081332,1.225325729663289,8.92115914159351,8.784342773755391,1.3681631273693509
