epoch,train_total_loss,train_delta_loss,train_distance_loss,val_total_loss,val_delta_loss,val_distance_loss
1,8.165306534938688,8.041778750154515,1.2352780307805555,7.844995574984286,7.71814884017739,1.2684676247338453
2,7.896935271800951,7.772359006002892,1.245762437287458,7.835110956182082,7.704470899287197,1.3064005565312173
3,7.772213786771131,7.648341035461703,1.2387277339953322,7.777801866829395,7.64490932226181,1.328925660583708
4,7.704394160522971,7.581150655587052,1.232435037854106,7.837693890432517,7.70193810371889,1.3575568285253312
5,7.6538127890159915,7.531001989820669,1.228108213148838,7.875383805566364,7.73722451147106,1.3815922515259849
6,7.614748145050781,7.4921418438817176,1.2260630935603796,7.841131510006057,7.7009239378902645,1.4020755618810654
7,7.592453718531964,7.469690077318702,1.227636266984912,7.819333211912049,7.68017878168159,1.3915437555975385
