epoch,train_total_loss,train_delta_loss,train_distance_loss,val_total_loss,val_delta_loss,val_distance_loss
1,8.06706736980136,8.06706736980136,0.0,7.715104350447655,7.715104350447655,0.0
2,7.788866055635519,7.788866055635519,0.0,7.73070669853025,7.73070669853025,0.0
3,7.680544352600741,7.680544352600741,0.0,7.65599801995688,7.65599801995688,0.0
4,7.609309924168643,7.609309924168643,0.0,7.713564001768828,7.713564001768828,0.0
5,7.5677039782668265,7.5677039782668265,0.0,7.732067003349463,7.732067003349463,0.0
6,7.522034063831319,7.522034063831319,0.0,7.728521521720621,7.728521521720621,0.0
7,7.492291500921859,7.492291500921859,0.0,7.704294048166937,7.704294048166937,0.0
