split,state,dfg_found,hrd_found,vaik_lys_found,alphac_glu_found,activation_loop_found,lys_glu_pair_found
test,active,0.98989898989899,0.030303030303030304,1.0,1.0,0.98989898989899,1.0
test,inactive,1.0,0.75,1.0,1.0,1.0,1.0
train,active,0.9848942598187311,0.9516616314199395,0.9939577039274925,0.9939577039274925,0.9848942598187311,0.9939577039274925
train,inactive,0.9407407407407408,0.9,0.9777777777777777,0.9629629629629629,0.9407407407407408,0.9629629629629629
val,active,0.9375,1.0,1.0,1.0,0.9375,1.0
val,inactive,0.925,0.975,1.0,1.0,0.925,1.0
