split,state,count,mean,std,min,25%,50%,75%,max
test,active,99.0,954.2323232323232,134.9932597170589,286.0,896.5,994.0,1023.5,1205.0
test,inactive,12.0,493.6666666666667,317.80678330575563,279.0,315.5,337.0,501.5,1046.0
train,active,331.0,293.10271903323263,16.55116104623462,209.0,283.0,295.0,304.0,329.0
train,inactive,270.0,294.1962962962963,62.5049766433897,234.0,263.0,274.0,297.0,614.0
val,active,16.0,288.875,10.935416468216166,259.0,285.25,292.5,297.0,299.0
val,inactive,120.0,288.625,29.139497149361503,225.0,278.0,287.0,293.0,441.0
