epoch,train_total_loss,train_flow_loss,train_geometry_loss,train_core_preservation_loss,train_target_profile_loss,validation_total_loss,validation_flow_loss,validation_geometry_loss,validation_core_preservation_loss,validation_target_profile_loss,validation_target_probability,validation_accuracy,validation_geometric_validity,validation_broken_geometry,validation_source_generated_rmsd,validation_target_neighbor_distance,train_accuracy,train_target_probability,learning_rate
1,0.046709251353296184,0.04358731240223525,0.006800905801355839,0.008719722369401637,0.008897853324631765,0.02490430363618276,0.02106466018320883,0.0010785793274408206,0.00517352602636332,0.031065753770663458,0.3498243444010821,0.34558823529411764,0.6380686334827367,0.3445550144156989,1.513640110983568,0.2435184054021888,0.59375,0.6030443751467729,0.0002
2,0.0165854381334226,0.014280658988755638,0.004266501931173695,0.00660062956986791,0.007914158683349142,0.024535579442539635,0.020603746285333353,0.0017066083074656919,0.004496089388232897,0.031409029848873615,,,,,,,,,0.0001999980260856137
3,0.014053893401839976,0.012104481955895485,0.003239370170207221,0.005247395244916364,0.007767979652518249,0.024963214062154293,0.02122204115285593,0.0016468210532740854,0.003404707887538654,0.030713381793569115,,,,,,,,,0.00019999210442038165
4,0.013645571427640774,0.01189601857815001,0.002700371580924523,0.004608858716121669,0.007485925380764056,0.024321175180375576,0.020325696725836572,0.0027227239864741396,0.0037916035987162855,0.030717733863960293,,,,,,,,,0.00019998223523808094
5,0.013105695372668364,0.011320522394410129,0.0024825770711778836,0.004214957956287821,0.008671617125539835,0.024173294303610045,0.020150239360244834,0.0026202483842258945,0.003806031367275864,0.031184025848393932,0.3221489777622674,0.3235294117647059,0.6384989763883984,0.344076222356628,1.4774291940471704,0.2621238217415178,0.28125,0.395868888569169,0.00019996841892833004
6,0.01219135413135765,0.010653502063162752,0.002204016677766912,0.004113235317517893,0.006857251308432196,0.024608044118127403,0.020816033925203717,0.002146847113823135,0.003177032960058354,0.030449375948485208,,,,,,,,,0.00019995065603657322
7,0.012554587875256094,0.010868248119318889,0.001849934067064107,0.005162784963909347,0.008000744982243721,0.02410821572822683,0.020240550203358427,0.0013743310641182367,0.004390621663975146,0.03153736637357403,,,,,,,,,0.00019992894726405898
8,0.012266576984676264,0.010853751309973708,0.0018224513219369544,0.00355728399560992,0.006926068959173636,0.023851538953535697,0.020081184229210895,0.0018138262847274104,0.0032091844991287764,0.030866708962575477,,,,,,,,,0.00019990329346781255
9,0.011317750060204732,0.009846069447506788,0.0019164762984550858,0.0033956480102013734,0.00748820496738841,0.024775101364973712,0.020844466326867834,0.0021282414835535318,0.004069170726271456,0.030980699093026275,,,,,,,,,0.00019987369566060184
10,0.011292122659604933,0.009847988524489988,0.0019519915715475583,0.003386674584994503,0.007150684154821339,0.024011599612148368,0.02016289488357656,0.0015172586136031896,0.004378598453887903,0.03107393111157067,0.33407698703489386,0.34558823529411764,0.6405476371155066,0.3436912498710787,1.450383541338584,0.2656607532818966,0.53125,0.5480501919165591,0.00019984015501089758
11,0.012207474599008337,0.010562472266413398,0.0018059362023989908,0.005211325143306058,0.007626825343754332,0.024474355556509075,0.02069521478979903,0.0013773820469128516,0.003922924330896314,0.031113719622440198,,,,,,,,,0.00019980267284282723
12,0.012029716508242033,0.01052789801289722,0.0017557041532107456,0.004579691845781596,0.006927085030622685,0.023844236727146542,0.02013396126601626,0.0019773059483507976,0.0028211556970799234,0.030326986082774753,,,,,,,,,0.00019976125063612257
13,0.011167504335358992,0.009625533473346446,0.0016059863649434962,0.0035356697547486273,0.008672065839518682,0.02362649471444242,0.01994260573102271,0.0010892601430361323,0.004031351890743655,0.030629019499482477,,,,,,,,,0.00019971589002606144
14,0.011160166665785393,0.009685169329266932,0.0015923491752138203,0.0034132180321109246,0.008152056577658849,0.024003341629662934,0.020203231286038372,0.001904928995132008,0.0032946548719123446,0.030896594364415195,,,,,,,,,0.00019966659280340303
15,0.010874269175011728,0.009431904750102657,0.0013549990075940297,0.003701735112295186,0.008011910596258654,0.024092458243317464,0.02026394020546885,0.0019164894226431737,0.0036852361654917546,0.030766964013523915,0.27937632596758283,0.29411764705882354,0.642549484529916,0.3435289463137879,1.4678767989663517,0.2602828070932232,0.375,0.4638938149076834,0.0001996133609143173
16,0.010967923265139935,0.009513958179691837,0.0015630773702731073,0.004148318878201358,0.007265177169633177,0.02408605589367011,0.02033422005308025,0.0018323506065986723,0.003410376752178897,0.030443278963074964,,,,,,,,,0.00019955619646030805
17,0.010888219503212278,0.009451302313009056,0.001549032051116228,0.0036527225649047456,0.007618384739636617,0.02407514802454149,0.020246475633672056,0.0015067823491442729,0.004336270911153406,0.030936885323813734,,,,,,,,,0.00019949510169813006
18,0.010108747369593989,0.00878415611509423,0.001405217196452984,0.0031657898621002246,0.00726968852578173,0.023695330135524273,0.020052378997206688,0.00123051944811938,0.003194688435863046,0.03077378252740292,,,,,,,,,0.00019943007903969992
19,0.010347929506925709,0.009057948898555617,0.0014112601194814858,0.0032990669054215995,0.006778218722270833,0.024488610708538222,0.020578695543329504,0.002049332928008345,0.004077543716822916,0.030922946520149708,,,,,,,,,0.00019936113105200088
