guidance_scale,mean_rmsd_source_target,mean_rmsd_prediction_target,mean_rmsd_source_prediction,mean_rmsd_improvement,median_rmsd_improvement,average_vectorfield_magnitude,average_prediction_difference,sample_count,successful_translation_rate,has_nan_fraction
0.0,3.3161415052478542,15.703446052315071,15.550849132320565,-12.387304547067219,-12.555371747417212,2401937959.973717,257439968.64019397,101,0.0,0.0
1.0,3.3161415052478542,16.166270873654806,16.0201151995831,-12.850129368406954,-12.990872693338652,1836325483.5137846,241048252.43569037,101,0.0,0.0
2.0,3.3161415052478542,17.074147639004735,16.958049947771624,-13.758006133756883,-13.765871729876192,2139438039.5929995,263889498.56723648,101,0.0,0.0
5.0,3.3161415052478542,18.531291032680308,18.444773336115453,-15.215149527432454,-15.207293038727062,4176203251.9657044,315059504.751531,101,0.0,0.0
