representation,state_silhouette,kinase_silhouette,n_samples,pca_components
ca_coordinates,0.03742430781229875,0.034444583252218566,800,20
distance_matrix,0.054564307561798746,0.12204014913266015,800,20
local_geometry,0.055843185633420944,0.16718491911888123,800,20
