variant,pairs,global_ca_rmsd,improvement,dfg_rmsd,alphac_rmsd,hrd_rmsd,activation_loop_rmsd,local_distance_error,state_accuracy,closer_to_target_rate,crossing_rate,trajectory_smoothness,directionality,path_geometry_error,cycle_rmsd
linear_interpolation_oracle,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
aligned_full_conditioning,4,11.800334453582764,-20.56555418654088,15.632843017578125,6.5866698026657104,10.230131149291992,13.503429412841797,5.608052372932434,1.0,0.25,0.25,0.9393924474716187,0.1875,2.981836289167404,25.814701080322266
bidirectional_self_consistent,8,20.769081950187683,-36.15359646167698,21.049596309661865,19.514018177986145,14.643368244171143,21.923869371414185,3.7380626648664474,0.5,0.0,0.375,1.00326456874609,0.0,2.0731825828552246,31.884594202041626
inverse_deactivation,4,22.93514633178711,-41.41556520262795,24.32446575164795,20.525912284851074,16.730915069580078,25.27652931213379,3.92417174577713,0.0,0.0,0.25,1.3592178225517273,0.0,2.2501258552074432,42.52546310424805
current_index_matching,4,31.8755784034729,-4.542648893198466,31.435789585113525,38.01993417739868,24.711692810058594,34.671738624572754,3.636175513267517,1.0,0.0,0.0,1.0853163748979568,0.0,3.1949743807315825,39.40319871902466
aligned_endpoint_constraints,4,32.00929546356201,-59.24713144471869,30.42384958267212,35.68035078048706,22.507990837097168,29.170291900634766,5.03591251373291,1.0,0.0,0.75,1.0084075331687927,0.0,2.6496939569711686,34.54184627532959
aligned_endpoint_flow,4,35.1969780921936,-65.50467093240825,34.01948261260986,39.241700649261475,25.017821311950684,32.27241611480713,5.3000927567481995,1.0,0.0,0.75,0.9815681725740433,0.0,2.776399528980255,36.30364942550659
