epoch,train_loss,train_denoising_loss,train_local_transition_loss,train_global_preservation_loss,train_distance_matrix_loss,train_bond_validity_loss,train_smoothness_loss,train_geometry_penalty,validation_loss,validation_denoising_loss,validation_local_transition_loss,validation_global_preservation_loss,validation_distance_matrix_loss,validation_bond_validity_loss,validation_smoothness_loss,validation_geometry_penalty,validation_rmsd_source_generated,validation_rmsd_generated_target,validation_dfg_progress,validation_alphac_progress,validation_activation_loop_progress,validation_plausibility,learning_rate
1,0.051798709819459506,0.022226904176621355,0.050114029994568765,0.0008630926419063432,0.027919747532369234,0.006002836329384874,0.016793357904873088,0.00019711403007784253,0.08195427297323477,0.03373657792205146,0.09665672946721315,0.00014000922552289316,0.03083950047342417,0.00011989212858528238,0.00033181954586325446,2.476532888569712e-05,1.2535054665058851,4.834012955116729,0.003740753076878415,-0.00014885985820001224,-0.0004887909211295968,0.4836915439615647,0.0002
2,0.03331590878466765,0.015370901538711837,0.02997966316074897,0.00021069983874137202,0.021917892643847525,0.002421187719481432,0.007646505677133289,4.871390681603996e-05,0.07508636019580688,0.0307117025416422,0.08812345490635683,0.0003226960401055597,0.029689950606552884,0.00033379005102081766,0.001022731210468919,0.0001348404893709206,,,,,,,0.0001999980260856137
3,0.028526462845376924,0.013364686630666256,0.024522079648370415,0.00025641273345965415,0.020486739145703297,0.0020431755657872967,0.006873540042971189,0.0001225848980103699,0.04651666129939258,0.01925905572231083,0.05184194809407927,0.0003169374695062288,0.023208755112136714,0.000702798951654889,0.002011491565402442,0.00033904286313675885,,,,,,,0.00019999210442038165
4,0.022375885237995375,0.010774176707093278,0.017203582319407128,0.0002922374621067499,0.018451818141640507,0.001962722796532843,0.007331001886731794,0.00017085405386005266,0.03720513945639444,0.01546885524779403,0.04020753181733502,0.0005630705324316901,0.01972000958630815,0.0007706185260758502,0.003926279108175852,0.0003183135643780588,,,,,,,0.00019998223523808094
5,0.01983837964825141,0.009781396517959924,0.014471957314775413,0.00029286490126441303,0.01706965707051448,0.0017147401972618112,0.006645538722777851,0.00014468792487138836,0.035725164033162095,0.0149966371342695,0.03839313303372668,0.0002739920187195821,0.019582832132679567,0.0006272605695206342,0.0031046284802869195,0.00038781643464365817,1.5422633616253734,4.198705838682751,0.021500569672146714,-0.008289544878001228,0.026607403939124197,0.44433395287746363,0.00019996841892833004
6,0.017881429965138182,0.008926475388754128,0.012347131239202542,0.00031475050310936605,0.01616418018188869,0.0016109796801112338,0.006685405283067853,0.00015110014461771422,0.039551671468264736,0.016512047843813587,0.04325572443485726,0.0002431107034226443,0.02092443695437396,0.0006147299874707338,0.0025041484471633644,0.0002644777047748903,,,,,,,0.00019995065603657322
7,0.017442164198360127,0.008721384034754757,0.01196275002315131,0.00033800511493578425,0.015729179852602318,0.001583208591163827,0.006697157931187724,0.00016233239336395497,0.03264335700077936,0.013618147723415555,0.03489352782101681,0.0005271014427610984,0.017603270816228662,0.0007011523442391384,0.004277722036931664,0.00028035008614324397,,,,,,,0.00019992894726405898
8,0.01573453416140416,0.007992723608453177,0.010268262348687038,0.0003710859776678511,0.014363800139667897,0.001505989848007249,0.006613501365511463,0.00016612464277674226,0.03635884290755106,0.015225786080312295,0.03952890831472663,0.00031248883836572833,0.018901118077337742,0.0006770287369969689,0.002874985850212397,0.00033819572724998653,,,,,,,0.00019990329346781255
9,0.01604667582557115,0.008089838402234336,0.010569038653634807,0.00045053655589865043,0.014607224888048874,0.0015111754232476282,0.006798185366325271,0.00018956935345446473,0.033517971906500556,0.013902481000210779,0.03582188204745762,0.0005276003542652082,0.018789674611374114,0.0008037321661807558,0.00371587319871954,0.00040597790454436716,,,,,,,0.00019987369566060184
10,0.015236492248841075,0.007676289910370978,0.00985716164120051,0.0004931111744421924,0.013899707991597999,0.0015391142044861156,0.006949345026021967,0.0001854644101163453,0.030758624692680314,0.012930988237106552,0.03250308173786228,0.0004949751685974965,0.01681589908063567,0.0008627371723074854,0.004080890839153047,0.00020902713901923184,2.7177818038811288,4.257064515414338,-0.004367668666721632,-0.00560870124475817,-0.0012239174587496866,0.3939309063005365,0.00019984015501089758
11,0.013404222201301247,0.006823175085278658,0.008171501645070111,0.0006301923764175059,0.011520818767384587,0.0015513216350307195,0.007071578831403938,0.0007380010922219314,0.03164514375384897,0.013278935293783434,0.03366811581266423,0.0005305644869319318,0.017056790107744746,0.0008250171219212158,0.0037062608001482054,0.0002424289588134343,,,,,,,0.00019980267284282723
12,0.013468946624770124,0.006829923619794794,0.008028431688077174,0.000641527695259931,0.012859214909183674,0.0015088457830099023,0.00723863831267525,0.00016018774654068507,0.027813273462622117,0.011633757094386965,0.028852474584709853,0.0006167309052216297,0.016022006010947127,0.0008823583490690604,0.004250841346220113,0.000606959066961584,,,,,,,0.00019976125063612257
13,0.012754713917453574,0.006412646396913462,0.007599904385005307,0.0007838337311797783,0.011582097217727166,0.0015482429741348466,0.007386917574729165,0.0003269590329998606,0.027654912681706872,0.011551163583741678,0.02867331769084558,0.0007934983186714817,0.015589132672175765,0.0010215451990613171,0.004474349788021452,0.0004138665761814764,,,,,,,0.00019971589002606144
14,0.012431360562292174,0.006143526816899832,0.007310836558015301,0.0009455129894244875,0.011497153924443783,0.0015946006771519335,0.007766669894703942,0.0003298439155009368,0.029713761842382762,0.012493492523693325,0.03086118977322864,0.0013708426395169226,0.015561721149424557,0.0010404778574108302,0.004442215334468831,0.0001583350366445302,,,,,,,0.00019966659280340303
15,0.012175470399550902,0.006104611417549288,0.007244524585767689,0.0009547401067619729,0.010331780251720522,0.0015555039420325914,0.007334532590312326,0.0005118030686179947,0.023316615600682173,0.009869588975561783,0.02322115398904619,0.0011201814286323497,0.012982200554688461,0.0010113026134301133,0.006044084882887546,0.0001889055189820965,3.626118783528606,4.550261747092009,-0.04456059109846441,-0.015832909671492718,-0.006639443958799045,0.3684795267440171,0.0001996133609143173
