checkpoint,epoch,validation_loss,validation_denoising_loss,validation_local_transition_loss,validation_global_preservation_loss,validation_distance_matrix_loss,validation_bond_validity_loss,validation_smoothness_loss,validation_geometry_penalty,validation_rmsd_source_generated,validation_rmsd_generated_target,validation_dfg_progress,validation_alphac_progress,validation_activation_loop_progress,validation_plausibility
best_validation_loss.pt,256,0.012913143582409248,0.004553615481806143,0.012504109183889037,0.0027219323853084156,0.006444619752680107,0.0008242927330381159,0.009521271929164262,0.00015230504777719034,3.6535233221948147,3.7723472702006497,-0.04118962197389919,-0.02802288660920264,0.012830282762782494,0.3613235245639872
best_local_plausibility.pt,305,0.009730489056285782,0.0033191681432072073,0.008600428841115596,0.0028168137553924075,0.004981192648604822,0.0008458605628523704,0.009396269803498095,0.00018687657347982167,3.8301009678592286,3.713766311916212,-0.02106562452293777,-0.038505530064867344,0.01644336300038655,0.3470201161302005
