epoch,batch_train_loss,train_loss,validation_loss,train_accuracy,train_balanced_accuracy,train_f1,train_roc_auc,validation_accuracy,validation_balanced_accuracy,validation_f1,validation_roc_auc
1,0.6508252376859839,0.6118052005767822,0.6136125922203064,0.7333333333333333,0.731439393939394,0.7520215633423181,0.8388888888888889,0.7572254335260116,0.7558902275769745,0.7717391304347826,0.8444444444444446
2,0.5857844867489554,0.547590434551239,0.5516260862350464,0.7579710144927536,0.7580808080808081,0.7651195499296765,0.8586616161616161,0.7745664739884393,0.775368139223561,0.7771428571428571,0.8613119143239625
3,0.5239050808277997,0.49083104729652405,0.49635306000709534,0.8,0.8007575757575758,0.8034188034188035,0.8775925925925925,0.815028901734104,0.8156626506024096,0.8181818181818182,0.8771084337349399
4,0.4661537910049612,0.44209226965904236,0.44862037897109985,0.8246376811594203,0.8253787878787879,0.8278805120910384,0.8964478114478115,0.8208092485549133,0.8221552878179383,0.8208092485549133,0.8930388219544846
5,0.4274994175542485,0.39985939860343933,0.4090050458908081,0.8420289855072464,0.8417929292929293,0.8484005563282336,0.912070707070707,0.8323699421965318,0.8327978580990629,0.8361581920903954,0.907095046854083
6,0.3910458128560673,0.3655813932418823,0.3751011788845062,0.8579710144927536,0.8573232323232323,0.8650137741046832,0.9234511784511785,0.8265895953757225,0.8267737617135207,0.8314606741573034,0.917938420348059
7,0.36795235018838535,0.3398864269256592,0.347792387008667,0.8579710144927536,0.8583333333333334,0.8619718309859155,0.93246632996633,0.8497109826589595,0.8504016064257028,0.8522727272727273,0.9291834002677376
8,0.3353729559616609,0.3193630278110504,0.33116763830184937,0.8768115942028986,0.8768939393939394,0.8811188811188811,0.9403535353535354,0.8670520231213873,0.867536813922356,0.8700564971751412,0.9366800535475234
9,0.32262900133024563,0.3010224997997284,0.3159945607185364,0.8768115942028986,0.8768939393939394,0.8811188811188811,0.9474410774410774,0.8786127167630058,0.8791164658634538,0.8813559322033898,0.9402945113788487
10,0.3066292567686601,0.28526461124420166,0.2966499924659729,0.8855072463768116,0.8858585858585859,0.8888888888888888,0.9521127946127945,0.8901734104046243,0.8902275769745649,0.8938547486033519,0.9444444444444444
11,0.2908778326077895,0.27106404304504395,0.28490641713142395,0.8913043478260869,0.8917929292929293,0.8942172073342737,0.9572053872053872,0.8901734104046243,0.8902275769745649,0.8938547486033519,0.949665327978581
12,0.26842446760697797,0.2578721046447754,0.2745029926300049,0.9057971014492754,0.906439393939394,0.9080622347949081,0.9603787878787879,0.9017341040462428,0.9022757697456492,0.903954802259887,0.9528781793842034
13,0.2675630517981269,0.24519091844558716,0.26391664147377014,0.9159420289855073,0.916540404040404,0.9180790960451978,0.963973063973064,0.9075144508670521,0.9082998661311914,0.9090909090909091,0.9562248995983935
14,0.25056453015316615,0.23354260623455048,0.25343847274780273,0.9202898550724637,0.920580808080808,0.9228611500701263,0.9670707070707071,0.9075144508670521,0.9082998661311914,0.9090909090909091,0.959437751004016
15,0.23713719573887912,0.22280950844287872,0.2437458634376526,0.9231884057971015,0.9233585858585858,0.9258741258741259,0.9701010101010101,0.9132947976878613,0.9138554216867469,0.9152542372881356,0.9623828647925033
16,0.2379069094630805,0.21430303156375885,0.23270191252231598,0.9260869565217391,0.9265151515151515,0.9282700421940928,0.9726599326599327,0.9190751445086706,0.9198795180722892,0.9204545454545454,0.96760374832664
17,0.22279856116934257,0.2050536721944809,0.2274429053068161,0.9289855072463769,0.9291666666666667,0.9314685314685315,0.9747811447811447,0.9190751445086706,0.9198795180722892,0.9204545454545454,0.9676037483266399
18,0.21641573614694856,0.1980675458908081,0.22191064059734344,0.9304347826086956,0.930429292929293,0.9331476323119777,0.9757239057239057,0.9248554913294798,0.9254350736278447,0.9265536723163842,0.9680053547523427
19,0.210143234919418,0.19074811041355133,0.21927395462989807,0.9289855072463769,0.9291666666666667,0.9314685314685315,0.9779377104377105,0.9248554913294798,0.9254350736278447,0.9265536723163842,0.9688085676037483
20,0.20058058710260826,0.18387524783611298,0.21594370901584625,0.9318840579710145,0.932070707070707,0.9342657342657342,0.9792255892255891,0.9248554913294798,0.9254350736278447,0.9265536723163842,0.9697456492637216
21,0.1962664665823633,0.17775599658489227,0.20836956799030304,0.9347826086956522,0.9348484848484848,0.9372384937238494,0.9805218855218856,0.9248554913294798,0.9254350736278447,0.9265536723163842,0.971619812583668
22,0.19075003029270607,0.17215576767921448,0.20537501573562622,0.936231884057971,0.9362373737373737,0.9387186629526463,0.9816161616161616,0.9248554913294798,0.9254350736278447,0.9265536723163842,0.9714859437751004
23,0.19038773463530975,0.1663108915090561,0.20599691569805145,0.936231884057971,0.9362373737373737,0.9387186629526463,0.982912457912458,0.9248554913294798,0.9244979919678715,0.9281767955801105,0.9713520749665328
24,0.1782866089858792,0.16185791790485382,0.20634087920188904,0.9333333333333333,0.9334595959595959,0.9357541899441341,0.9842676767676768,0.9248554913294798,0.9244979919678715,0.9281767955801105,0.9714859437751004
25,0.16476239704272963,0.15719175338745117,0.20240545272827148,0.936231884057971,0.9362373737373737,0.9387186629526463,0.9845791245791247,0.9248554913294798,0.9244979919678715,0.9281767955801105,0.9713520749665328
26,0.17352319593456658,0.15288197994232178,0.19858495891094208,0.936231884057971,0.9362373737373737,0.9387186629526463,0.985547138047138,0.9248554913294798,0.9244979919678715,0.9281767955801105,0.9721552878179384
