Method,RMSD Pred→Target,RMSD Source→Target,RMSD Source→Pred,Improvement,Success Rate,Mean True Motion,Mean Pred Motion
Identity,3.3161415052478542,3.3161415052478542,0.0,0.0,0.0,2.253115698842719,0.0
EGNN_no_prior,3.3416958802870123,3.3161415052478542,0.7783967884515312,-0.02555437503915782,0.5643564356435643,2.253115698842719,0.6783156867074495
MobilityGuidedEGNN,3.3493375512241528,3.3161415052478542,0.7912617315799728,-0.033196045976298855,0.504950495049505,2.253115698842719,0.6459442908220953
MobilityGuidedEGNN_dist_0p0,3.3465904523831793,3.3161415052478542,0.7758534376397771,-0.030448947135325383,0.5148514851485149,2.253115698842719,0.5888532630287775
MobilityGuidedEGNN_dist_0p1,3.325530341611381,3.3161415052478542,0.5758146522662809,-0.009388836363526581,0.6336633663366337,2.253115698842719,0.6781720814138356
MobilityGuidedEGNN_dist_0p5,3.3299369473094904,3.3161415052478542,0.5153127900564776,-0.0137954420616358,0.6534653465346535,2.253115698842719,0.6491907551737115
MobilityGuidedEGNN_dist_1p0,3.3292139309070263,3.3161415052478542,0.5117026272410752,-0.013072425659173085,0.5742574257425742,2.253115698842719,0.5964767938793296
MobilityGuidedEGNN_weighted,3.3402019750873486,3.3161415052478542,0.6040034495725978,-0.02406046983949526,0.5247524752475248,2.253115698842719,0.6442755985968184
