guidance_scale,global_ca_rmsd,directionality,distance_matrix_mae,improvement
1.5,8.623981595039368,0.25,3.53996679186821,-1.75958185715591
1.0,8.655998229980469,0.375,2.903095841407776,-2.007807731561583
2.0,9.691576719284058,0.125,4.609075665473938,-2.3194388920665494
0.5,9.740418076515198,0.25,3.2888453006744385,-2.926374141495283
0.0,11.535600423812866,0.1875,4.173042595386505,-4.170483737250015
3.0,13.644184112548828,0.0,7.1614357233047485,-4.501954277254419
