epoch,train_total_loss,train_delta_loss,train_motion_loss,train_direction_loss,train_mobile_loss,train_distance_loss,val_total_loss,val_delta_loss,val_motion_loss,val_direction_loss,val_mobile_loss,val_distance_loss
1,38.67482276794522,10.459771037439621,23.51198006227266,1.58643144868141,0.6991669552270756,3.560272574598013,27.27024964226617,10.161651713980568,12.779651673634847,1.627007226811515,0.7424250761667888,3.1442301915751565
2,32.680141481687855,9.537601600552714,18.449790941559993,1.1843251615069634,0.6860222688941069,3.757575161789739,26.216450889905293,10.844236142105526,10.883951883845858,1.6389432983265984,0.7481001009543736,3.29474114312066
3,27.700873482504555,7.970052444657614,15.435746829315674,1.0024241889632026,0.6675713173178739,3.460076447143111,24.90338592529297,10.916713214582867,9.418284032079908,1.6456003298362096,0.7138873861895667,3.388644893301858
4,23.42383157375247,6.916797888833423,12.225586266850316,0.9309045794398285,0.6470218092896217,3.4924842282783155,25.032355642318727,10.16293862859408,10.425386205646728,1.623192486498091,0.7043996294339497,3.2802344852023655
5,20.193573586885318,6.069968059589696,9.930475227777348,0.8589625620564749,0.6347954888676488,3.446251364502796,25.167163631651135,11.041713235113356,9.198646733495924,1.641201306382815,0.7002627955542671,3.756071681446499
6,17.54330031040103,5.360247872180717,8.134659830359526,0.8138142610705176,0.6230946795884953,3.3299381461254387,24.782800896962485,11.603854395283593,8.122799175315434,1.6095075286096996,0.6709571189350552,3.915915033552382
7,15.849332520019177,4.910429095667462,6.949415362158487,0.7825846378193345,0.6096633051717004,3.293364075172779,24.330595551596748,11.984718174404568,7.1186635129981575,1.5512915558285183,0.6616156789991591,4.120760260687934
8,14.678782792424046,4.583589442386184,6.368183381612911,0.7343256119378777,0.5982652248338212,3.060714539954829,25.081535159216987,11.055939429998398,9.008910828828812,1.5618387189176348,0.6511915187040965,3.910169749789768
9,13.866803612819938,4.347917164065117,5.854288015531939,0.7196582479532375,0.5861265189425889,3.0117061296174694,25.146052079730563,10.856726363632415,9.214617325199974,1.5911097586154939,0.6819671614302529,3.938170262177785
10,12.967155875716099,4.11899735068166,5.4564518142578216,0.6912291722242222,0.5699492834335149,2.761117377253466,25.115164181921216,10.011060857772828,10.396449006928338,1.543879575199551,0.6653356469339795,3.6030467563205297
11,12.512670000763826,3.9752709032491196,5.281459413572799,0.6688662110373031,0.5520658332248066,2.6454736388006874,25.58756451341841,11.21116016043557,8.576796149545245,1.55974191625913,0.7084171927637524,4.665528747770521
